Transform,Language,Benchmark,Platform,RunningTime
skulpt,python,anagram,chrome,18219
skulpt,python,binary_trees,chrome,8777
skulpt,python,fib,chrome,40234
skulpt,python,gcbench,chrome,292337
skulpt,python,nbody,chrome,47878
skulpt,python,pystone,chrome,8045
skulpt,python,schulze,chrome,71161
skulpt,python,spectral_norm,chrome,4970
skulpt,python,anagram,chrome,17092
skulpt,python,binary_trees,chrome,8762
skulpt,python,fib,chrome,39594
skulpt,python,gcbench,chrome,274675
skulpt,python,nbody,chrome,46696
skulpt,python,pystone,chrome,7943
skulpt,python,schulze,chrome,71009
skulpt,python,spectral_norm,chrome,4895
skulpt,python,anagram,chrome,16952
skulpt,python,binary_trees,chrome,8685
skulpt,python,fib,chrome,40171
skulpt,python,gcbench,chrome,275322
skulpt,python,nbody,chrome,50589
skulpt,python,pystone,chrome,8180
skulpt,python,schulze,chrome,71138
skulpt,python,spectral_norm,chrome,4871
skulpt,python,anagram,chrome,17119
skulpt,python,binary_trees,chrome,8599
skulpt,python,fib,chrome,39328
skulpt,python,gcbench,chrome,276124
skulpt,python,nbody,chrome,47623
skulpt,python,pystone,chrome,7962
skulpt,python,schulze,chrome,70217
skulpt,python,spectral_norm,chrome,4907
skulpt,python,anagram,chrome,19394
skulpt,python,binary_trees,chrome,8747
skulpt,python,fib,chrome,39884
skulpt,python,gcbench,chrome,278137
skulpt,python,nbody,chrome,50267
skulpt,python,pystone,chrome,7890
skulpt,python,schulze,chrome,71935
skulpt,python,spectral_norm,chrome,5260
skulpt,python,anagram,chrome,17177
skulpt,python,binary_trees,chrome,8585
skulpt,python,fib,chrome,39690
skulpt,python,gcbench,chrome,275529
skulpt,python,nbody,chrome,47084
skulpt,python,pystone,chrome,8408
skulpt,python,schulze,chrome,71949
skulpt,python,spectral_norm,chrome,4853
skulpt,python,anagram,chrome,17137
skulpt,python,binary_trees,chrome,8910
skulpt,python,fib,chrome,39869
skulpt,python,gcbench,chrome,274997
skulpt,python,nbody,chrome,47143
skulpt,python,pystone,chrome,7966
skulpt,python,schulze,chrome,70467
skulpt,python,spectral_norm,chrome,4826
skulpt,python,anagram,chrome,17311
skulpt,python,binary_trees,chrome,8676
skulpt,python,fib,chrome,39179
skulpt,python,gcbench,chrome,274560
skulpt,python,nbody,chrome,47803
skulpt,python,pystone,chrome,7974
skulpt,python,schulze,chrome,71440
skulpt,python,spectral_norm,chrome,4925
skulpt,python,anagram,chrome,17108
skulpt,python,binary_trees,chrome,8787
skulpt,python,fib,chrome,39999
skulpt,python,gcbench,chrome,275556
skulpt,python,nbody,chrome,46117
skulpt,python,pystone,chrome,8065
skulpt,python,schulze,chrome,73191
skulpt,python,spectral_norm,chrome,4976
skulpt,python,anagram,chrome,16879
skulpt,python,binary_trees,chrome,8668
skulpt,python,fib,chrome,40185
skulpt,python,gcbench,chrome,272201
skulpt,python,nbody,chrome,46895
skulpt,python,pystone,chrome,7954
skulpt,python,schulze,chrome,72108
skulpt,python,spectral_norm,chrome,4842
